Date,maxAT,meanAT,minAT,meanRH,maxRH,minRH,meanDP,meanLW,meanSM,meanST,meanRF,Foci,meanAT_5d,meanRH_5d,meanLW_5d,meanDP_5d,meanSM_5d,meanST_5d,meanRF_5d,temp_humidity_5d,leafwet_humidity_5d,dewpoint_diff_5d,Foci_lag1
2021-06-23,24.015998840332,18.4915790557861,12.425989151001,56.6931953430176,76.6070251464844,34.7931137084961,9.04566478729248,0.0,0.375291049480438,18.4820404052734,0.0,6.782120118845498,21.724097442626963,72.16532287597656,37.515554809570304,15.905265045166022,0.38384996652603165,20.50421142578126,0.1740000685056051,1567.7265061363514,2707.3221257040364,5.818832397460941,5.226669496321447
2021-06-29,34.6740074157715,29.5840816497803,24.7239952087402,65.5752410888672,80.0839767456055,50.5729827880859,22.213415145874,6.66669178009033,0.322725176811218,27.0852470397949,0.0249998718500137,3.5829230333899282,21.43946342468262,66.39426956176759,24.374508666992178,14.248631095886235,0.37816678881645205,20.5604736328125,0.11883344252904249,1423.457513878035,1618.327698871919,7.190832328796386,6.782120118845498
2021-07-02,25.1120014190674,22.2253341674805,18.3779945373535,86.405029296875,95.7772216796875,68.8462600708008,19.7388305664063,88.8227386474609,0.405693471431732,23.3491458892822,0.686665455500285,1.710940152801359,22.12251281738282,63.891942596435555,16.806316566467284,14.343896675109855,0.3627372443675994,21.09604606628418,0.10816673537095381,1413.4503190171329,1073.7882133222517,7.7786161422729645,3.5829230333899282
2021-07-06,34.810001373291,27.0321655273438,22.267993927002,70.2060699462891,90.3667068481445,44.0001907348633,20.7519149780273,29.3040390014648,0.370725154876709,24.8523559570313,0.157499690850576,10.703788200339561,22.97869758605958,66.42866744995118,24.404187202453606,15.670613098144537,0.36791837811470024,21.954840087890624,0.15949955880641942,1526.4442603773477,1621.137636058145,7.308084487915044,1.710940152801359
2021-07-09,30.871997833252,25.4889984130859,22.0579948425293,77.2760162353516,95.1652069091797,52.2010002136231,20.8551654815674,41.6666679382324,0.420789361000061,24.6908435821533,0.550831913948059,6.0027843803056085,23.92841453552248,66.49325637817384,24.958693885803207,16.627330207824695,0.3618911802768706,22.70115432739258,0.17383300364017493,1591.078202433718,1659.5848314130726,7.301084327697787,10.703788200339561
2021-07-13,25.8360042572022,23.5400848388672,21.7319984436035,88.8495330810547,95.9740905761719,79.8437957763672,21.5518341064453,28.5610008239746,0.421157777309418,23.9254531860352,0.0458334585030874,19.286810271646857,24.564431762695317,71.2311103820801,33.292027473449686,18.520998191833495,0.3790448427200316,23.69192657470702,0.2839993864297867,1749.7517503616248,2371.428083804538,6.043433570861822,6.0027843803056085
2021-07-16,33.2740020751953,28.7599143981934,24.3079929351807,68.4380645751953,89.4849624633789,44.274959564209,21.8946628570557,6.60049200057983,0.378214418888092,26.6775054931641,0.0016666413284838,52.11676924165253,25.574132919311538,77.66237792968752,39.00422763824461,21.02223205566406,0.3882181882858276,24.780609130859382,0.2931660781304042,1986.1479760036354,3029.1610676969162,4.551900863647479,19.286810271646857
2021-07-20,30.1680068969727,26.0332469940186,21.6659927368164,71.0340118408203,83.8708572387695,54.8493766784668,20.146411895752,4.16666650772095,0.390025198459625,24.7510452270508,0.0108332311113675,52.43940647990944,25.40929946899416,78.23494262695314,38.99098768234251,20.9584815979004,0.3993160367012024,24.69906082153322,0.2884994320260982,1987.895086147829,3050.457684296303,4.450817871093761,52.11676924165253
2021-07-28,28.1100063323975,24.1262512207031,20.6739921569824,67.8510360717773,83.5909042358398,50.8462219238281,17.5619926452637,8.3333330154419,0.295478373765945,24.3869285583496,0.0233333607514699,173.53354555744204,26.17088203430178,75.1607391357422,22.059773254394518,21.03999786376954,0.39618238210678103,24.97944068908694,0.15333298714831473,1967.0228375324384,1658.0288629671693,5.130884170532241,52.43940647990944
2021-08-03,25.6920051574707,21.0991630554199,16.8639907836914,62.1749267578125,79.7774047851563,44.9830627441406,13.2858209609985,0.0,0.293438494205475,20.8327941894531,0.0,190.90339558573856,25.58969917297364,74.68973236083984,17.865632057189934,20.40201339721682,0.3811330258846282,24.8863552093506,0.1264997211284935,1911.2877824238058,1334.3792768087567,5.187685775756819,173.53354555744204
2021-08-10,31.2060089111328,25.3351669311523,21.6679935455322,82.8138427734375,93.717041015625,65.2391967773438,22.0344982147217,41.5430908203125,0.311539441347122,24.1122703552246,0.310833851496379,256.3928126768533,24.71173210144044,71.66951446533203,9.532298469543456,18.888144493103038,0.35566285252571095,24.114745330810557,0.01633333833888172,1771.0778413075955,683.175203050807,5.823587608337402,190.90339558573856
2021-08-17,26.6859970092773,24.3567485809326,21.919994354248,76.957405090332,85.0821838378906,69.8704833984375,20.0090866088867,71.6667175292969,0.321194410324097,23.6178207397461,0.413334012031555,292.4225099037919,25.07074851989746,70.46237640380858,12.128716468811035,18.984677314758322,0.33373918533325175,24.15210876464844,0.06933341693754004,1766.5445189342415,854.6181851204352,6.086071205139138,256.3928126768533
2021-08-24,32.1399993896484,26.9824962615967,22.8819961547852,70.905517578125,88.9446258544922,46.1149024963379,20.7589988708496,5.45145130157471,0.420931875705719,25.183536529541,0.0,753.5155772495752,24.1901153564453,72.16624450683591,25.14196157455445,18.60756206512452,0.32233518362045277,23.54017181396484,0.1516668910781543,1745.7097794617976,1814.4009463707696,5.582553291320782,292.4225099037919
2021-09-04,25.3279991149902,20.0699119567871,15.0759925842285,67.6224975585938,85.8074035644531,47.5491256713867,13.5067462921143,0.0,0.400443613529205,19.7184410095215,0.0,417.0429400113188,24.379965209960922,72.14054565429686,25.3989185333252,18.73007946014404,0.3285165190696716,23.62667007446288,0.1495002448558808,1758.783993279355,1832.2918420231133,5.649885749816882,753.5155772495752
2022-05-19,21.5380058288574,16.3127498626709,12.6959953308105,82.4393081665039,95.2694854736328,66.4457397460938,13.1790008544922,54.9615669250488,0.434944450855255,16.0046482086182,0.724166472752889,0.0,23.568697357177722,72.09483795166017,23.73225193023682,17.91903018951416,0.3495095670223236,22.69297256469726,0.1448335727055868,1699.181416697449,1710.9728571383978,5.649667167663562,417.0429400113188
2022-05-21,33.0760154724121,25.5330905914307,17.7160015106201,71.1771240234375,98.9378662109375,40.548648834228494,19.026252746582,29.166666030883803,0.40958109498024,21.4840240478516,0.0,0.1400639816386845,22.61141471862792,76.14771423339843,34.72456531524658,17.8976661682129,0.3778107583522796,21.727343368530278,0.28966686725616464,1721.807546406938,2644.1962765043754,4.713748550415019,0.0
2022-05-23,23.3660011291504,19.8369121551514,16.3539943695068,53.9985275268555,77.4459762573242,38.3235206604004,9.93416404724121,0.0,0.385561138391495,20.4272155761719,0.0,0.2697619945922151,22.6509994506836,73.82037048339843,32.24928035736084,17.29601707458496,0.3974190890789032,21.20169410705568,0.22750009695688878,1672.1051712687176,2380.653823803361,5.35498237609864,0.1400639816386845
2022-05-25,21.1540069580078,16.2092514038086,11.597993850708,60.05596160888669,83.0587005615234,42.352409362793,8.02816581726074,0.0,0.354390203952789,16.2153778076172,0.0,0.5170643903665973,21.747032165527358,69.22859497070314,17.915936851501463,15.28103256225586,0.4102924346923828,20.56357307434084,0.1448332945505778,1505.5164816021468,1240.2951358132893,6.465999603271499,0.2697619945922151
2022-05-27,25.9180030822754,21.3575820922852,18.7159976959229,84.4443511962891,94.6548614501953,65.4925918579102,18.5014991760254,60.989402770996094,0.354153513908386,19.4309272766113,0.454166928927104,0.5391537760171036,19.59238319396974,67.05868377685547,16.82564659118652,12.734865951538088,0.39698410034179676,18.76994132995608,0.1448332945505778,1313.8394290393946,1128.3057140995031,6.857517242431653,0.5170643903665973
2022-05-29,25.6600036621094,20.9038314819336,15.3399906158447,63.04196929931639,83.031982421875,38.0926971435547,13.1009140014648,0.0,0.387432634830475,19.5957412719727,0.0,0.762089093701997,19.84991722106936,70.42305450439454,29.023527145385742,13.73381652832031,0.387726080417633,18.71243858337404,0.23566668033599864,1397.8918023670874,2043.9254340692746,6.116100692749052,0.5391537760171036
2022-05-31,34.1380081176758,28.1479187011719,22.0579948425293,57.0966644287109,82.3754272460938,34.2116241455078,18.0832481384277,0.0,0.345422625541687,24.3809394836426,0.0,1.150622524052066,20.7681335449219,66.54358673095703,18.03121376037598,13.71819915771483,0.378223717212677,19.43065719604494,0.0908333857854208,1381.9860957866085,1199.861636728005,7.0499343872070686,0.762089093701997
2022-06-02,27.3139991760254,21.2961654663086,16.6919937133789,83.5153427124023,94.2216339111328,60.6096229553223,18.2140827178955,45.833625793457,0.342626750469208,20.2480201721191,0.230000297228495,1.400675187071622,21.29109916687014,63.72749481201172,12.19788055419922,13.52959823608397,0.36539202332496645,20.010040283203143,0.0908333857854208,1356.8284116987438,777.3403697352694,7.76150093078617,1.150622524052066
2022-06-04,28.3880004882813,22.1339149475098,15.2339897155762,48.6548271179199,75.4607772827148,24.1923408508301,9.62107086181641,0.0,0.331644237041473,20.3543758392334,0.0,2.147586147267812,21.58294982910158,69.63085784912109,21.36460571289062,15.185581970214827,0.356805145740509,19.97420120239258,0.1368334452311198,1502.8393115148842,1487.635823396807,6.397367858886753,1.400675187071622
2022-06-06,27.6700057983398,21.3727493286133,13.5799884796143,45.3079452514648,75.7038269042969,28.3340244293213,8.0908203125,0.0,0.285744965076447,19.782470703125,0.0,2.9702942840973416,22.76788253784182,67.35063095092772,21.36460571289062,15.504162979125962,0.3522559523582458,20.80200080871582,0.1368334452311198,1533.4312543402561,1438.919674780978,7.263719558715859,2.147586147267812
2022-06-08,29.292005538940405,24.4362525939941,20.0959949493408,63.94608306884769,90.8545684814453,33.9197616577148,16.1608257293701,30.028076171875,0.277709156274796,22.2822341918945,0.086666742960612,3.1469353266679243,22.77091598510744,59.523349761962855,9.166725158691401,13.422027206420882,0.338574242591858,20.87230949401856,0.046000059445699,1355.401196581821,545.6341877925727,9.348888778686558,2.9702942840973416
2022-06-10,26.2960014343262,21.6060810089111,16.1239929199219,53.2839736938477,72.35888671875,33.471923828125,11.1227436065674,0.0,0.335309356451035,20.7398948669434,0.0,2.3675132050556504,23.477400207519544,59.70417251586912,15.172340393066401,14.034009552001942,0.3166295468807222,21.40960807800292,0.06333340803782139,1401.6987522138484,905.8520282971259,9.443390655517602,3.1469353266679243
2022-06-13,30.310003280639698,24.8542518615723,19.773998260498,71.6160507202148,92.8479232788086,42.671932220459,18.9150810241699,25.8337020874023,0.345066905021668,22.3221206665039,0.0,3.089675690121362,22.16903266906738,58.94163436889647,15.172340393066401,12.641908645629883,0.31460689306259176,20.681399154663076,0.06333340803782139,1306.6790178922906,894.2825399685588,9.527124023437498,2.3675132050556504
