Date,Damage,Foci,,,,,,
2022-06-04,94.985,,,,,,,
2022-06-04,0,,,,,,,
2022-06-04,0,,,,,,,
2022-06-04,0,,,,,,,
2022-06-04,0,,,,,,,
2022-06-04,474.14,,,,,,,
2022-06-04,136.59,,,,,,,
2022-06-04,434.105,,,,,,,
2022-06-04,2667.43,,,,,,,
2022-06-06,NULL,,,,,,,
2022-06-06,0,,,,,,,
2022-06-06,67.51,,,,,,,
2022-06-06,253.555,,,,,,,
2022-06-06,0,,,,,,,
2022-06-06,0,,,,,,,
2022-06-06,78.5,,,,,,,
2022-06-06,0,,,,,,,
2022-06-06,1192.415,,,,,,,
2022-06-06,192.325,,,,,,,
2022-06-06,616.225,,,,,,,
2022-06-06,4301.015,,,,,,,
2022-06-08,78.5,,,,,,,
2022-06-08,66.725,,,,,,,
2022-06-08,47.885,,,,,,,
2022-06-08,186.83,,,,,,,
2022-06-08,0,,,,,,,
2022-06-08,0,,,,,,,
2022-06-08,0,,,,,,,
2022-06-08,0,,,,,,,
2022-06-08,1548.02,,,,,,,
2022-06-08,134.235,,,,,,,
2022-06-08,789.71,,,,,,,
2022-06-08,4398.355,,,,,,,
2022-06-10,94.985,,,,,,,
2022-06-10,39.25,,,,,,,
2022-06-10,19.625,,,,,,,
2022-06-10,183.69,,,,,,,
2022-06-10,78.5,,,,,,,
2022-06-10,0,,,,,,,
2022-06-10,19.625,,,,,,,
2022-06-10,0,,,,,,,
2022-06-10,916.095,,,,,,,
2022-06-10,259.835,,,,,,,
2022-06-10,686.09,,,,,,,
2022-06-10,3437.515,,,,,,,
2022-06-13,87.135,,,,,,,
2022-06-13,0,,,,,,,
2022-06-13,0,,,,,,,
2022-06-13,428.61,,,,,,,
2022-06-13,47.885,,,,,,,
2022-06-13,0,,,,,,,
2022-06-13,0,,,,,,,
2022-06-13,0,,,,,,,
2022-06-13,1330.575,,,,,,,
2022-06-13,396.425,,,,,,,
2022-06-13,736.33,,,,,,,
2022-06-13,6614.41,,,,,,,
2022-06-15,134.235,,,,,,,
2022-06-15,58.09,,,,,,,
2022-06-15,263.76,,,,,,,
2022-06-15,1390.235,,,,,,,
2022-06-15,19.625,,,,,,,
2022-06-15,78.5,,,,,,,
2022-06-15,19.625,,,,,,,
2022-06-15,0,,,,,,,
2022-06-15,3803.325,,,,,,,
2022-06-15,780.29,,,,,,,
2022-06-15,2340.87,,,,,,,
2022-06-15,10809.45,,,,,,,
2022-06-17,204.1,,,,,,,
2022-06-17,97.34,,,,,,,
2022-06-17,222.94,,,,,,,
2022-06-17,1734.85,,,,,,,
2022-06-17,0,,,,,,,
2022-06-17,47.885,,,,,,,
2022-06-17,0,,,,,,,
2022-06-17,0,,,,,,,
2022-06-17,3648.68,,,,,,,
2022-06-17,1138.25,,,,,,,
2022-06-17,1635.94,,,,,,,
2022-06-17,10559.04,,,,,,,
2022-06-20,167.99,,,,,,,
2022-06-20,183.69,,,,,,,
2022-06-20,194.68,,,,,,,
2022-06-20,1550.375,,,,,,,
2022-06-20,0,,,,,,,
2022-06-20,56.52,,,,,,,
2022-06-20,19.625,,,,,,,
2022-06-20,0,,,,,,,
2022-06-20,3264.03,,,,,,,
2022-06-20,1069.955,,,,,,,
2022-06-20,1022.855,,,,,,,
2022-06-20,12220.88,,,,,,,
2022-06-22,58.875,,,,,,,
2022-06-22,47.885,,,,,,,
2022-06-22,172.7,,,,,,,
2022-06-22,507.895,,,,,,,
2022-06-22,0,,,,,,,
2022-06-22,19.625,,,,,,,
2022-06-22,0,,,,,,,
2022-06-22,0,,,,,,,
2022-06-22,2771.835,,,,,,,
2022-06-22,785,,,,,,,
2022-06-22,1105.28,,,,,,,
2022-06-22,7860.205,,,,,,,
2022-06-24,58.09,,,,,,,
2022-06-24,86.35,,,,,,,
2022-06-24,135.805,,,,,,,
2022-06-24,613.085,,,,,,,
2022-06-24,0,,,,,,,
2022-06-24,19.625,,,,,,,
2022-06-24,0,,,,,,,
2022-06-24,0,,,,,,,
2022-06-24,2066.905,,,,,,,
2022-06-24,598.17,,,,,,,
2022-06-24,825.82,,,,,,,
2022-06-24,7017.115,,,,,,,
2022-06-27,117.75,,,,,,,
2022-06-27,145.225,,,,,,,
2022-06-27,164.85,,,,,,,
2022-06-27,653.905,,,,,,,
2022-06-27,0,,,,,,,
2022-06-27,0,,,,,,,
2022-06-27,28.26,,,,,,,
2022-06-27,78.5,,,,,,,
2022-06-27,1441.26,,,,,,,
2022-06-27,436.46,,,,,,,
2022-06-27,576.19,,,,,,,
2022-06-27,4640.135,,,,,,,
2022-06-29,154.645,,,,,,,
2022-06-29,98.125,,,,,,,
2022-06-29,282.6,,,,,,,
2022-06-29,1237.16,,,,,,,
2022-06-29,47.885,,,,,,,
2022-06-29,58.09,,,,,,,
2022-06-29,66.725,,,,,,,
2022-06-29,0,,,,,,,
2022-06-29,3329.185,,,,,,,
2022-06-29,888.62,,,,,,,
2022-06-29,1635.94,,,,,,,
2022-06-29,11882.55,,,,,,,
2022-07-01,234.715,,,,,,,
2022-07-01,164.85,,,,,,,
2022-07-01,378.37,,,,,,,
2022-07-01,2231.755,,,,,,,
2022-07-01,19.625,,,,,,,
2022-07-01,153.075,,,,,,,
2022-07-01,0,,,,,,,
2022-07-01,67.51,,,,,,,
2022-07-01,4735.12,,,,,,,
2022-07-01,1952.295,,,,,,,
2022-07-01,2274.93,,,,,,,
2022-07-01,14413.39,,,,,,,
2022-07-04,338.335,,,,,,,
2022-07-04,221.37,,,,,,,
2022-07-04,343.83,,,,,,,
2022-07-04,2453.125,,,,,,,
2022-07-04,47.885,,,,,,,
2022-07-04,194.68,,,,,,,
2022-07-04,76.93,,,,,,,
2022-07-04,124.815,,,,,,,
2022-07-04,4002.715,,,,,,,
2022-07-04,1858.095,,,,,,,
2022-07-04,2587.36,,,,,,,
2022-07-04,11824.46,,,,,,,
2022-07-06,390.93,,,,,,,
2022-07-06,212.735,,,,,,,
2022-07-06,493.765,,,,,,,
2022-07-06,2025.3,,,,,,,
2022-07-06,47.885,,,,,,,
2022-07-06,175.055,,,,,,,
2022-07-06,86.35,,,,,,,
2022-07-06,77.715,,,,,,,
2022-07-06,4126.745,,,,,,,
2022-07-06,1946.015,,,,,,,
2022-07-06,2046.495,,,,,,,
2022-07-06,14042.87,,,,,,,
2022-07-08,512.605,,,,,,,
2022-07-08,203.315,,,,,,,
