Date,Damage,Foci,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2020-07-08,302294.08,1710.7757781550654,,,,,,
2020-07-08,407956.65,2308.7529711375214,,,,,,
2020-07-08,210482.05,1191.183078664403,,,,,,
2020-07-08,190047.715,1075.5388511601584,,,,,,
2020-07-08,321831.945,1821.3466044142617,,,,,,
2020-07-08,269712.655,1526.3874080362198,,,,,,
2021-05-31,213.363,1.2074872665534806,,,,,,
2021-05-31,153.075,0.8662988115449916,,,,,,
2021-05-31,292.02,1.6526315789473685,,,,,,
2021-05-31,171.6795,0.9715874363327675,,,,,,
2021-05-31,0.0,0.0,,,,,,
2021-05-31,193.11,1.0928692699490663,,,,,,
2021-05-31,43.646,0.24700622524052068,,,,,,
2021-05-31,394.9335,2.235050933786078,,,,,,
2021-06-01,587.494,3.3248104131295984,,,,,,
